Year,Frequency,On Cover
2020,1,Female Athletes/Coaches
2020,4,Female Swimsuit Models
2020,0,Other Women
2019,11,Female Athletes/Coaches
2019,2,Female Swimsuit Models
2019,0,Other Women
2018,3,Female Athletes/Coaches
2018,1,Female Swimsuit Models
2018,0,Other Women
2017,3,Female Athletes/Coaches
2017,3,Female Swimsuit Models
2017,0,Other Women
2016,5,Female Athletes/Coaches
2016,2,Female Swimsuit Models
2016,1,Other Women
2015,32,Female Athletes/Coaches
2015,1,Female Swimsuit Models
2015,0,Other Women
2014,6,Female Athletes/Coaches
2014,2,Female Swimsuit Models
2014,2,Other Women
2013,0,Female Athletes/Coaches
2013,2,Female Swimsuit Models
2013,2,Other Women
2012,2,Female Athletes/Coaches
2012,1,Female Swimsuit Models
2012,1,Other Women
2011,2,Female Athletes/Coaches
2011,1,Female Swimsuit Models
2011,0,Other Women
2010,3,Female Athletes/Coaches
2010,1,Female Swimsuit Models
2010,0,Other Women
